issues,split,source_dataset,annotation_source,text_status,filename,primary_caption,n_captions
EXTREME_LENGTH_GT_1000_CHARS;REPEATED_TOKEN_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Wisent_Male_wisent_male__animationnotmotionextractedlocomotion_manisetd142891d__wisent_male_matingcourtship_457.npy,The male wisent approaches cautiously and then engages in a mating courtship display,3
PLACEHOLDER_ONE_TOKEN,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Tamworth_Pig_Male_tamworth_pig_male__animationnotmotionextractedfighting_manisetdfc6f239__tamworth_pig_male_swimbasetoswimtreadwater_336.npy,The male Tamworth pig swims to a point and then treads water,7
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpine_Goat_Female_alpine_goat_female__animationnotmotionextractedbehaviour_manisetd02b5790__alpine_goat_female_standgimmick01_70.npy,The female alpine goat stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Wolf_Female_arctic_wolf_female__animationnotmotionextractedfighting_maniset2001d71b__arctic_wolf_female_standgimmick01_169.npy,The female arctic wolf stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Asian_Small_Clawed_Otter_Juvenile_asian_small_clawed_otter_juvenile__animationnotmotionextractedlocomotion_maniset3547edfb__asian_small_clawed_otter_juvenile_gimmick_252.npy,The juvenile clawed otter performs a playful gimmick by diving into the water and then emerging with a fish,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Male_babirusa_male__animationnotmotionextractedfighting_manisetc0f1e1ee__babirusa_male_standgimmick01_148.npy,The male babirusa stands still as part of its playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Female_bactrian_camel_female__animationnotmotionextractedfighting_maniset2b182a71__bactrian_camel_female_standgimmick01_169.npy,The female Bactrian camel stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Juvenile_bactrian_camel_juvenile__animationnotmotionextractedfighting_maniset6aa2e2c9__bactrian_camel_juvenile_standgimmick01_160.npy,The juvenile bactrian camel stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Male_bactrian_camel_male__animationnotmotionextractedlocomotion_manisetef04758c__bactrian_camel_male_standgimmick01_252.npy,The male bactrian camel stands still employing a clever gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Black_Wildebeest_Female_black_wildebeest_female__animationnotmotionextractedbehaviour_maniset31aeadb9__black_wildebeest_female_standgimmick01_85.npy,The female black wildebeest stands still as a gimmick,3
