priority,issues,split,source_dataset,annotation_source,text_status,needs_human_review,filename,primary_caption,n_captions
P0,P0_TOO_LONG;P1_OVER_NARRATIVE,train,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bactrian_Camel_Juvenile_bactrian_camel_juvenile__animationnotmotionextractedlocomotion_manisetecfccfaf__bactrian_camel_juvenile_fightreacttodie_220.npy,The juvenile bactrian camel fights reacts and then dies,3
P0,P0_TOO_LONG;P1_OVER_NARRATIVE,train,animo4d_L4_safe,animo4d_official_text,present,False,PZ_European_Fallow_Deer_Juvenile_european_fallow_deer_juvenile__animationnotmotionextractedfighting_manisetaa1d0ef7__european_fallow_deer_juvenile_fightvictorytaunt_144.npy,The juvenile fallow deer fights wins and then taunts its opponent,3
P0,P0_TOO_LONG;P1_OVER_NARRATIVE;P1_SOURCE_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Giant_Otter_Juvenile_giant_otter_juvenile__animationnotmotionextractedlocomotion_manisetd4154e76__giant_otter_juvenile_gimmick_103.npy,The juvenile giant otter performs a playful gimmick by diving and then surfacing with a splash,3
P0,P0_TOO_LONG;P1_OVER_NARRATIVE,train,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Saiga_Male_saiga_male__animationnotmotionextractedfighting_manisetcf7c23b4__saiga_male_fighttauntreact_120.npy,The male saiga fights taunts and then reacts swiftly,3
P0,P0_TOO_SHORT_PLACEHOLDER,train,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Tamworth_Pig_Male_tamworth_pig_male__animationnotmotionextractedfighting_manisetdfc6f239__tamworth_pig_male_swimbasetoswimtreadwater_336.npy,The male Tamworth pig swims to a point and then treads water,7
P0,P0_BAD_REPEATED_TOKEN;P0_TOO_LONG;P2_PUNCT_OR_CASE_ODD,train,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Wisent_Male_wisent_male__animationnotmotionextractedlocomotion_manisetd142891d__wisent_male_matingcourtship_457.npy,The male wisent approaches cautiously and then engages in a mating courtship display,3
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,collected,present,False,Alligator___Catch_11.npy,An alligator snaps its jaws shut abruptly to catch prey.,5
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,collected,present,False,Bear___SwatLeft_74.npy,An animal raises its left front paw and swats forward forcefully.,5
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,collected,present,False,BrownBear___Attack_122.npy,"An animal stands on all fours, rears up, and lunges forward to bite with its powerful jaws.",5
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,collected,present,False,Crocodile___Idle_257.npy,An ambush predator slightly opens its mouth and gently wags its tail while facing forward.,5
P1,P1_AI_DRAFT_REMAINING;P1_BAD_ARTICLE_A_ANIMAL;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,True,Deer___Gallop_271.npy,A deer gallops through a short gait cycle.,6
